Catch,Effort,Year,SST
1,5,2001,16.4378876
5,4,2001,18.94152568
2,5,2001,17.04488461
13,9,2001,19.41508702
10,5,2001,19.70233642
0,8,2001,15.2277825
4,8,2001,17.64052744
8,5,2001,19.46209522
2,4,2001,17.75717507
1,3,2001,17.28307368
38,9,2002,19.78416673
6,4,2002,17.26667078
4,2,2002,18.38785318
8,9,2002,17.86316701
1,6,2002,15.51462341
7,3,2002,19.49912485
7,5,2002,16.23043867
7,9,2002,15.21029767
6,5,2002,16.6396036
14,4,2002,19.77251825
11,6,2003,19.44769658
5,4,2003,18.46401703
4,4,2003,18.20253407
5,3,2003,19.97134888
2,4,2003,18.278529
18,10,2003,18.54265234
3,3,2003,17.72033012
3,2,2003,17.9707101
0,3,2003,16.44579869
2,6,2003,15.73556824
12,6,2004,19.81512116
10,8,2004,19.51149523
6,6,2004,18.45352639
7,6,2004,18.97733709
1,5,2004,15.12306842
2,6,2004,17.38897986
5,7,2004,18.79229769
2,7,2004,16.08203968
5,10,2004,16.59090504
1,4,2004,16.15812893
2,4,2005,15.71400011
0,4,2005,17.07273168
0,1,2005,17.06862163
2,3,2005,16.84422725
0,7,2005,15.76222374
0,3,2005,15.69403032
0,3,2005,16.1651705
0,2,2005,17.32981225
1,3,2005,16.3298632
8,6,2005,19.28913858
2,7,2006,15.22915583
5,5,2006,17.21100037
4,4,2006,18.99462423
1,3,2006,15.6094963
1,2,2006,17.80473992
3,4,2006,16.03265695
2,5,2006,15.63765825
7,3,2006,18.76653932
13,5,2006,19.4752268
2,3,2006,16.87231388
4,5,2007,18.32557597
1,4,2007,15.4742033
3,6,2007,16.91984819
0,4,2007,16.37191822
3,4,2007,19.07320019
1,5,2007,17.24258171
4,6,2007,19.05032177
3,3,2007,19.06194755
2,4,2007,18.97171161
0,4,2007,17.19915844
1,6,2008,18.77237579
1,3,2008,18.14610566
2,7,2008,18.55091201
1,6,2008,15.00312387
0,6,2008,17.37658287
0,6,2008,16.10059443
3,4,2008,16.89908269
3,5,2008,18.06385502
2,8,2008,16.75898955
0,5,2008,15.55567712
1,7,2009,16.21809736
4,4,2009,18.34027794
3,6,2009,17.0882339
4,3,2009,18.94097917
1,5,2009,15.51432322
1,5,2009,17.17446371
9,4,2009,19.9247849
4,5,2009,19.46525557
11,8,2009,19.4323453
3,8,2009,15.87526325
4,4,2010,15.65347846
13,4,2010,18.26550963
18,10,2010,16.71758236
26,6,2010,18.28379064
14,9,2010,16.60186621
11,5,2010,15.9384556
15,4,2010,18.91147151
8,6,2010,15.46797493
4,3,2010,17.33389521
13,5,2010,17.5575273
